Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Ppfia1_E01_F06_CV,1730,2.0654,0.4408,16.2437,0.2134,7.864675123462768,39.2178,141.858,1.2434,4.332,57.4,227.70000000000002,15.5,92.89999999999999,1.8007,165.4954,804.414,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F07_CV,1731,1.9838,0.4276,17.5399,0.2156,8.841566690190543,43.8874,186.7586,1.1911,4.6358,52,209.5,14.6,82.10000000000001,1.9427,167.1644,779.635,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F08_CV,1732,2.3559,0.5418,20.7632,0.23,8.813277303790484,40.5378,176.792,1.0341,4.4541,54.6,220.5,14.9,91.7,1.8269,179.2328,793.565,Ppfia1_E01.xlsx,Ppfia1,Female
Rab10_E01_F01_CV,2155,2.141,0.4973,17.5398,0.2323,8.192340028024287,37.4139,142.8052,1.0887,4.2514,58.1,227.89999999999998,15.4,108.10000000000001,1.8886,172.2999,830.797,Rab10_E01.xlsx,Rab10,Female
Rab10_E01_F02_CV,2156,2.178,0.5557,19.8853,0.2551,9.130073461891644,37.4702,159.3199,0.7781,4.7515,57.7,202,14.6,86.2,2.0089,195.6022,820.591,Rab10_E01.xlsx,Rab10,Female
Rab10_E01_F03_CV,2157,2.1354,0.4877,16.8209,0.2284,7.877165870562893,36.3575,108.1756,1.1229,4.1996,60.900000000000006,231.4,16.1,93.60000000000001,1.9016,175.5738,856.026,Rab10_E01.xlsx,Rab10,Female
Rab10_E01_F04_CV,2158,2.3754,0.5018,18.6861,0.2112,7.866506693609497,39.6292,129.2417,1.2848,4.2313,57.1,234.2,15.6,101.3,1.8269,161.7079,815.519,Rab10_E01.xlsx,Rab10,Female
Rab10_E01_F05_CV,2160,2.4206,0.5224,19.9312,0.2158,8.233991572337438,40.6187,153.4758,1.2863,4.3889,55.9,222.6,15.299999999999999,87.4,1.9144,163.8905,814.749,Rab10_E01.xlsx,Rab10,Female
Rab10_E01_F06_CV,2161,2.5863,0.5211,20.1702,0.2015,7.798863240923327,41.4689,143.4495,1.4812,4.0857,55.5,243.10000000000002,14.5,123,1.8131,143.156,805.056,Rab10_E01.xlsx,Rab10,Female
Rbpj_E01_F01_CV,1877,2.1372,0.389,15.8116,0.182,7.398278120905858,44.2572,149.4976,1.6044,4.1723,51.4,237.9,14.6,104.80000000000001,1.788,138.1489,818.536,Rbpj_E01.xlsx,Rbpj,Female
Rbpj_E01_F02_CV,1878,2.8492,0.6437,24.4256,0.2259,8.572792362768496,39.8707,170.312,1.1324,4.6617,57.2,212.2,15.299999999999999,84.7,1.7748,174.0973,796.197,Rbpj_E01.xlsx,Rbpj,Female
